 Pincode,State Code,Dispatch Center,Prepaid,Reverse Pickup,REPL,COD,Cash,fm_serviceble
176040,,Bhota_BpassDPP_D (Himachal Pradesh),Y,Y,N,Y,N,True
176041,,Bhota_BpassDPP_D (Himachal Pradesh),Y,Y,N,Y,N,True
176042,,Bhota_BpassDPP_D (Himachal Pradesh),Y,Y,N,Y,N,True
176049,,Bhota_BpassDPP_D (Himachal Pradesh),Y,Y,N,Y,N,True
176051,,Rehan_Bharal_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176053,,Jawali_BhaneiLubh_DPP (Himachal Pradesh),Y,Y,N,Y,N,True
176055,,Khundian_Koka_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176071,,Kachhera_Timber_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176076,,Kachhera_Timber_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176084,,Dheera_Purba_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176088,,Sandhol_BeasBridge_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
176089,,Sandhol_BeasBridge_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
176090,,Sandhol_BeasBridge_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
176091,,Sandhol_BeasBridge_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
176101,,Dheera_Purba_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176128,,Kachhera_Timber_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176200,,Palion_MndiPthankotRd_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176202,,Palion_MndiPthankotRd_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176207,,Sihunta_Dramman_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176211,,Nurpur_Sadwan_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176302,,Nurpur_Sadwan_DPP (Himachal Pradesh),Y,Y,N,Y,N,True
176313,,Nurpur_Sadwan_DPP (Himachal Pradesh),Y,Y,N,Y,N,True
176501,,GhatiBillan_Ban_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
176502,,GhatiBillan_Ban_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
177026,,Salouni_Khangalta_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
177028,,Sandhol_BeasBridge_D (Himachal Pradesh),Y,Y,Y,Y,Y,True
177043,,Rakkar_Chouli_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
177106,,GhatiBillan_Ban_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
177204,,Chintpurni_Bharwain_D (Himachal Pradesh),Y,Y,N,Y,N,True
177401,,Bhota_BpassDPP_D (Himachal Pradesh),Y,Y,N,Y,N,True
177501,,TauniDevi_Barin_DPP (Himachal Pradesh),Y,Y,N,Y,N,False
181224,,Udhampur_Bharatngr_D (Jammu & Kashmir),Y,Y,N,Y,N,True
182204,,Kishtwar_SenFillingStn_D (Jammu & Kashmir),Y,Y,Y,Y,Y,True
201318,,Noida_Sector63_L (Uttar Pradesh),Y,Y,Y,Y,Y,True
207301,,Jalesar_PublicSchool_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
207302,,Jalesar_PublicSchool_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
209308,,Ghatampur_StatinRD_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
209311,,Akbarpur_NehruNGR_D (Uttar Pradesh),Y,Y,N,Y,N,True
209868,,Bangarmau_HabibNagar_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
209869,,Bangarmau_HabibNagar_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
209871,,Bangarmau_HabibNagar_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
210121,,Baberu_AzadNgr_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
210125,,Baberu_AzadNgr_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
210128,,Baberu_AzadNgr_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
210204,,Chitrakoot_SitaprMafi_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
210205,,Chitrakoot_KashaiRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
210206,,Chitrakoot_KashaiRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
210207,,Chitrakoot_KashaiRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
210209,,MauUP_AllahbadRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
210341,,Maudaha_Bank_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
210427,,Mahoba_MakaniyaPurva_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
210433,,Mahoba_MakaniyaPurva_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
210502,,Maudaha_Bank_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
210507,,Maudaha_Bank_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
212107,,Shankargarh_ShankargarhRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
212108,,Shankargarh_ShankargarhRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
212214,,SarayAnkil_Fkrbd_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
212216,,SarayAnkil_Fkrbd_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
212218,,SarayAnkil_Fkrbd_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
212641,,Sirathu_SaintRoad_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
221104,,Cholapur_Katari_D (Uttar Pradesh),Y,Y,N,Y,N,True
221402,,Bhadohi_Prgaspur_D (Uttar Pradesh),Y,Y,N,Y,N,True
221701,,Rasra_NwpraDPP_D (Uttar Pradesh),Y,Y,N,Y,N,False
221709,,Rasra_NwpraDPP_D (Uttar Pradesh),Y,Y,N,Y,N,False
221711,,Rasra_NwpraDPP_D (Uttar Pradesh),Y,Y,N,Y,N,False
221712,,Rasra_NwpraDPP_D (Uttar Pradesh),Y,Y,N,Y,N,False
222128,,Mariahu_RnprJmlpr_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
222137,,Mariahu_RnprJmlpr_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
222162,,Mariahu_RnprJmlpr_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
223221,,NizamabadUP_UnionBnk_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
223224,,Martinganj_RjbhrBhwn_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
223225,,Phoolpur_Sudnipur_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
223226,,Phoolpur_Sudnipur_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
223227,,Azamgarh_Semraha_I (Uttar Pradesh),Y,Y,Y,Y,Y,True
224121,,Rudauli_GhatRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
226102,,Malihabad_Amanignj_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
226103,,Malihabad_Amanignj_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
226104,,Malihabad_Amanignj_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
226501,,Lucknow_Memaura_L (Uttar Pradesh),Y,Y,Y,Y,Y,True
229127,,Salon_Bazar_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
229129,,Salon_Bazar_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
229841,,Malihabad_Amanignj_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
231205,,Chopan_Lokocly_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
